Map,Site,Name,Link,Rotation Index,Power Ops,Notes,Strat URL,Site 1,Site 2,Site 3,Site 4
Bank,2F CEO,Castle,2F CEO - Castle (Jan Castle Top),1,Castle,,https://drive.google.com/open?id=1FSSP66KcfwhjGeMyUKZhjaLLyuua0ZAk2ddh_tXGtHE,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,B Lockers,Server extend,B Lockers - Server Extend (Lars Basement Server extend),2,Warden,,https://drive.google.com/open?id=1wI5YeJ68mHton_NRr_HhspkEPvRDFFSc_hBgj2Vg7aU,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,1F Open Area,Mira Teller's,Unfinished 1F Open Area - No Castle,3,Mira,,https://drive.google.com/open?id=1v8pXcVdRsCobJpgutiYv_4m1Na-K0KdCrfWoYlj-hmo,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,2F CEO,Azami K9,2F CEO - Azami K9 (Lars Top default),4,,,https://drive.google.com/open?id=185cSYq97I5eBBPaWGkJOyl_eY4qYt9otvuwWVZwKcHI,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,B Lockers,Heavy Roam,B Lockers - Heavy Roam (Lars Basement Heavy Roam),5,"Castle, Goyo",,https://drive.google.com/open?id=1qm9Fl6Hp72S6LWQHWptIkrwU0sjBFxy699BQr3ujkz4,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,1F Open Area,Stock hold,1F Open Area - Stock Hold (Lars Open Area Stock hold),6,"Castle, Maestro",,https://drive.google.com/open?id=18NqBeYS9QsBAaV2RFjJRZxLpRw91RGeV-5NRshoz0yc,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,1F Open Area,Kitchen Hold,1F Open Area - Kitchen Hold (Lars Open Area Kitchen),,Azami,,https://drive.google.com/open?id=1ImXH-RfAUyh-EVOznoFXZmv1p7SNvVZtzWAwYTFmt44,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,B Lockers,Bunker,B Lockers - Bunker (Lars Basement Bunker),,Goyo,,https://drive.google.com/open?id=1g-yCF4MRHeMPkpXZxfLpV3Ld5Ec1aFHninN6ouVCKDU,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,1F Teller's,,1F Teller's (Lars Archives/Tellers off Site),,Castle,,https://drive.google.com/open?id=1SdPX48xzaFMMySAkLzPlUZtjtioi5b3BKDIahQiUq5Y,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,2F CEO,C4 below,2F CEO - C4 Below (Lars Top C4 below),,"Valk, Azami, Pulse",Fallback Strat,https://drive.google.com/open?id=1BzpTSEGjocj1t0BWTyKqxBKLYuuRXYiVYIZVwiUnsm0,2F CEO,B Lockers,1F Open Area,1F Teller's
Bank,2F CEO,Basement Fake,2F CEO - Basement Fake (Lars Top Basement Fake),,,Extrem risky,https://drive.google.com/open?id=1JWC5vgs6mpqAE0uCpM8jeWQGaWAnIITTLoXMm0mz-yo,2F CEO,B Lockers,1F Open Area,1F Teller's
Border,2F Armory,Mira Office,2F Armory - Mira Office (Jans Baba Top Strat),1,"Azami, Castle",,https://drive.google.com/open?id=1jHC5tW59nPresZLi8bfG-so_IZtqR58hOLeNF3okzm0,2F Armory,1F Bathroom,1F Workshop,1F Customs
Border,2F Armory,Mira 90,2F Armory - Mira 90 (Jans Baba Top Strat #2),4,"Mira, Castle",Alt Strat zu Mira Office,https://drive.google.com/open?id=1dMCMGCddcigEik644ReJ26euh9SrLHPzs2yQryjZWEo,2F Armory,1F Bathroom,1F Workshop,1F Customs
Border,1F Bathroom,2F Roam,1F Bathroom - 2F Roam (Lars Bathroom),2.5,,Alle bitte einmal alle ihr actual setup eintragen,https://drive.google.com/open?id=12EcbRDzeEP3ar_9D6_kK9ErkI9QmLoD_dAOql0f7gr8,2F Armory,1F Bathroom,1F Workshop,1F Customs
Border,1F Workshop,Vertical Hold,1F Workshop - Vertical Hold (Jan Workshop Vents),,Castle,,https://drive.google.com/open?id=1QgwKmY30GqqRq-RCyQ7aJHUDITst0k_99w3GSOCI4GQ,2F Armory,1F Bathroom,1F Workshop,1F Customs
Border,2F Armory,Office Shield,2F Armory - Office Shield (Florin Armory Archives),,,,https://drive.google.com/open?id=105m8_QpwhjEDZQUSJEHLILUAtwKpuaHS_Ts2bg6yB5w,2F Armory,1F Bathroom,1F Workshop,1F Customs
Border,1F Bathroom,Heavy Roam,Unfinished 1F Bathroom - Heavy Roam (Lars Bathroom Heavy Roam),,"Mira, Castle",,https://drive.google.com/open?id=11dYOvkg1DSDniPia6SKiR_QyEQ22M7iW7Pj366HjOys,2F Armory,1F Bathroom,1F Workshop,1F Customs
Chalet,1F Bar,Top und Basement Extend,1F Bar - Top und Basement Extend (Bar #1),1,,,https://drive.google.com/open?id=1JhGT5BtOsRaH2wtQTPrdGObIwLKqTD0gWp4SVv2UUDE,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,2F Master,Kitchen Extend,2F Master - Kitchen Extend (Top #1 - Solis),2,Castle,,https://drive.google.com/open?id=1cTUiclZQXtNdAe-FcHZQlN0S6tdh9CAUk3pTZup3P9I,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,B Snow,Boiler Shield,B Snow - Boiler Shield (Basement #1 - Dinner),3,Castle,,https://drive.google.com/open?id=1XfbswjKOXThIDaTwYeJMvXlrXobvYYFkCV2ZWWKGXGk,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,1F Bar,Top Extend,1F Bar - Top Extend (Bar #2 - Office),4,Mira,,https://drive.google.com/open?id=1yI3SaUgJVBhzMqAiV5LcTgjOPjUvCIuefhjDT8mNGNA,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,2F Master,Mira,2F Bedroom - Mira (Top #2 - Mira),5,"Mira, Castle, Azami",,https://drive.google.com/open?id=1TV40JtV9WdSg0pOA6IIwncS1FTz4d2EDKBQPyDHXTo0,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,1F Kitchen,Smoke,1F Kitchen - Smoke (Dining #1),6,,,https://drive.google.com/open?id=1oD4DOLKNzS1WVa81N98c_1NDSQHpnOrbrYEZIMr-egQ,2F Master,1F Bar,1F Kitchen,B Snow
Chalet,B Snow,Active Bandit,B Snow - Active Bandit (Basement #2 - Snow),,,,https://drive.google.com/open?id=1TgGa8QGimlm1eQTS9JuVuJ3xShTRdtpa6yS--9cIUlc,2F Master,1F Bar,1F Kitchen,B Snow
Clubhouse,2F Gym,Mira,2F Gym - Mira (Gym Active mit Mira),1,Mira,,https://drive.google.com/open?id=1ATWsxwFQIRH4CJEsEgT28ztH1MukNxKqdQ2hJQ6mbtc,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,B Church,Heavy Roam,B Church - Heavy Roam (Basement Heavy Roam (SSG)),2,"Castle, Goyo",,https://drive.google.com/open?id=1NMvMc73bz-Za-3PWpFFjJdIywASTogU0CeUwsejPlEY,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,2F CCTV,Double Breach Denial,2F CCTV - Double Breach Denial (CCTV Double Breachdenial),3.6,Kaid,,https://drive.google.com/open?id=1dNKCyverGsnO1SdFjwDQACyBIgsBdTEzbSeSentVf1w,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,2F Gym,C4 below,2F Gym - C4 below,4,Castle,,https://drive.google.com/open?id=1WuHJISULHffr3b-bMhbTflAEEBpthWswk7SzRkLQ2RY,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,B Church,No Util Roam,B Church - No Util Roam (Basement default),5,,,https://drive.google.com/open?id=18HRjrBd7WLK_rLlnEBPi_bfl-NBvuX17tgNeoLUTKJQ,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,2F Gym,Azami,2F Gym - Azami (Gym Active mit Azami statt Mira),,Azami,,https://drive.google.com/open?id=1vNloLwJfKokEkuBw_TQ-vQx9wHbkl7dhi1PoIMBHgJ0,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,B Church,Roam Fake,B Church - Roam Fake (Basement Roam Fake),,"Castle, Kaid, Tubarao",,https://drive.google.com/open?id=17zSDWYtRqE5e0VbIETvz1B_rY8BJrAaI9iuuABfHmGs,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,B Church,Bunker,B Church - Bunker (Basement Bunkern),,Kaid,,https://drive.google.com/open?id=1DpuYPbGokus6O3eUGqNV_iYf09hKEue6O5wWVZjFjj0,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,2F CCTV,Single Breach Denial,2F CCTV - Single Breach Denial (CCTV default),,,,https://drive.google.com/open?id=1T2u_nmEDyzBZuSOMyhI36_8Pi1RWlnORq6oJAfoKQz4,2F Gym,2F CCTV,B Church,1F Bar
Clubhouse,2F Gym,Unfinished,Unfinished 2F Gym - Bar Extend (Gym #1 - active),,Castle,,https://drive.google.com/open?id=1WuHJISULHffr3b-bMhbTflAEEBpthWswk7SzRkLQ2RY,2F Gym,2F CCTV,B Church,1F Bar
Consulate,2F Consul,Admin Focus,2F Consul - Admin Focus (Top Admin Focus),1,"Azami, Melusi",,https://drive.google.com/open?id=1CmNam_BlJr-B4nEV0QzZ5AlJlfYyhNjZjFSEU495PbI,2F Consul,1F Piano,B Garage,B/1F Server
Consulate,B Garage,Piano Hold,B Garage - Piano Hold,2,Castle,,https://drive.google.com/open?id=1N09dW9kw0F9KeJFd-XTQ2Z477FeIsIE5ZouMMVkfQVQ,2F Consul,1F Piano,B Garage,B/1F Server
Consulate,1F Piano,Top Floor Hold,1F Piano - Top Floor Hold (Piano/Exhibition default),3,Aruni,,https://drive.google.com/open?id=1CmooYmczIYrJEB0owVdCi92xTqCfbfDOC57gSkPNzY8,2F Consul,1F Piano,B Garage,B/1F Server
Consulate,2F Consul,C4 Below,2F Consul - C4 Below (Top default),4,,,https://drive.google.com/open?id=1_wr-rUfS59gB8x5it8A2SWXgXNBdKN2rr0NRjRK25HM,2F Consul,1F Piano,B Garage,B/1F Server
Consulate,B Garage,Active Breach,B Garage - Active Breach (Basement default),5,,Hat Clash/Azami Alternativen,https://drive.google.com/open?id=1nC3mZhAkvuxG9V-ud3xm8If8oPbiljim23FSQUb-9lk,2F Consul,1F Piano,B Garage,B/1F Server
Consulate,1F Piano,Horizontal Hold,1F Piano - Horizontal Hold (Piano Horizontal),6,"Azami, Castle",,https://drive.google.com/open?id=1cU8lV6cRrbtht43KouMea6ggvDJmU44ax6A_T8VR0ZY,2F Consul,1F Piano,B Garage,B/1F Server
